type_mouse,brand_mouse,model_name_mouse,connection_type_mouse,resolution_dpi_mouse,buttons_mouse,batteryfeatures_mouse,warranty_mouse,price_mouse
Gaming Mouse Wireless,FANTECH,WG13 TANTO E PINK (BLUETOOTH),USB-C / USB Wireless 2.4GHz / Bluetooth,12000,5,Support Fantech Software,2Y,790
Gaming Mouse Wireless,AULA,SC580X BLACK (BLUETOOTH),USB Type-C / Wireless 2.4GHz / Bluetooth,10000,6,Support Macro AULA software,220 day,799
Gaming Mouse Wireless,AULA,SC380 PRO BLACK (BLUETOOTH/CHARGING DOCK),USB type C / USB Wireless 2.4GHz / Bluetooth,12000,7,Support Aula Software,220 day,890
Gaming Mouse Wireless,AULA,SC380 PRO WHITE (BLUETOOTH/CHARGING DOCK),USB type C / USB Wireless 2.4GHz / Bluetooth,12000,7,Support Aula Software,220 day,890
Gaming Mouse Wireless,FANTECH,WG13 TANTO E BLACK (BLUETOOTH),USB-C / USB Wireless 2.4GHz / Bluetooth,12000,5,Support Fantech Software,2Y,990
Gaming Mouse Wireless,FANTECH,WG13 TANTO E WHITE (BLUETOOTH),USB-C / USB Wireless 2.4GHz / Bluetooth,12000,5,Support Fantech Software,2Y,990
Gaming Mouse Wireless,HYPERX,PULSEFIRE FUSE BLACK (BLUETOOTH),USB Type-A / USB Wireless 2.4GHz / Bluetooth,3200,6,Support NGENUITY Software,2Y,990
Gaming Mouse Wireless,AULA,SC680 BLACK (BLUETOOTH),USB TYPE-C / USB Receiver Wireless 2.4GHz / Bluetooth 5.0,26000,7,Support Aula Software,220 day,1190
Gaming Mouse Wireless,AULA,SC680 PINK (BLUETOOTH),USB TYPE-C / USB Receiver Wireless 2.4GHz / Bluetooth 5.0,26000,7,-,220 day,1190
Gaming Mouse Wireless,AULA,SC680 WHITE (BLUETOOTH),USB TYPE-C / USB Receiver Wireless 2.4GHz / Bluetooth 5.0,26000,7,-,220 day,1190
Gaming Mouse Wireless,ASUS,ROG P711 GLADIUS III AIMPOINT WHITE (BLUETOOTH),Wireless / Bluetooth / RF 2.4GHz,36000,6,Software Macro Armoury Crate,2Y,1390
Gaming Mouse Wireless,EGA,TYPE GM1 PRO BLACK (BLUETOOTH),Bluetooth 5.1 / USB Wireless 2.4GHz / USB-C,26000,6,Support EGA Software,2Y,1390
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 CORE BLACK RED (BLUETOOTH),Wireless 2.4GHz / Bluetooth 5.2,12000,6,Support HyperX NGENUITY Software,2Y,1590
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 CORE WHITE GREEN PURPLE (BLUETOOTH),Wireless 2.4GHz / Bluetooth 5.2,12000,6,Support HyperX NGENUITY Software,2Y,1590
Gaming Mouse Wireless,LOGITECH,G309 LIGHTSPEED WHITE (BLUETOOTH),Lightspeed Wireless 2.4GHz / Bluetooth,25600,6,Support Logitech G HUB software,2Y,1650
Gaming Mouse Wireless,LOGITECH,G309 LIGHTSPEED BLACK (BLUETOOTH),Lightspeed Wireless 2.4GHz / Bluetooth,25600,6,Support Logitech G HUB software,2Y,1950
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 MINI BLACK (BLUETOOTH),Wireless 2.4GHz / Bluetooth 5.0 / USB-C to USB-A,26000,6,Support HyperX NGENUITY Software,2Y,2050
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 MINI WHITE (BLUETOOTH),Wireless 2.4GHz / Bluetooth 5.0 / USB-C to USB-A,26000,6,Support HyperX NGENUITY Software,2Y,2050
Gaming Mouse Wireless,ASUS,ROG P709 KERIS BLACK (BLUETOOTH),"Wireless,Bluetooth,RF 2.4GHz",36000,6,-,2Y,2190
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 BLACK (BLUETOOTH),Wireless 2.4 GHz / Bluetooth,26000,6,Support HyperX NGENUITY,2Y,2250
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 WHITE (BLUETOOTH),Wireless 2.4 GHz / Bluetooth,26000,6,Support HyperX NGENUITY,2Y,2250
Gaming Mouse Wireless,CORSAIR,SABRE V2 PRO ULTRALIGHT BLACK (BLUETOOTH),USB Wireless 2.4GHz / USB Type-C to Type-A,33000,5,Support iCUE & Web Hub Software,2Y,2490
Gaming Mouse Wireless,ASUS,ROG P723 HARPE II ACE (BLUETOOTH),-,-,-,-,2Y,3790
Gaming Mouse Wireless,CORSAIR,SABRE V2 PRO ULTRALIGHT WHITE (BLUETOOTH),USB Wireless 2.4GHz / USB Type-C to Type-A,33000,5,Support iCUE & Web Hub Software,2Y,3790
Gaming Mouse Wireless,HYPERX,PULSEFIRE SAGA PRO BLACK (BLUETOOTH),USB Type-C / USB Wireless 2.4GHz / Bluetooth 5.0,3200,6,Support NGENUITY Software,2Y,3790
Gaming Mouse Wireless,ASUS,ROG P722 KERIS II ORIGIN BLACK (BLUETOOTH),USB Wireless 2.4GHz / Bluetooth 5.1 / USBType-C,42000,6,Support Gear Link Web Browser,2Y,4220 day
Gaming Mouse Wireless,CORSAIR,SCIMITAR ELITE SE BLACK (BLUETOOTH),USB Wireless 2.4GHz / Bluetooth 5.4 / USB Type-C to Type-A,33000,16,Support iCUE Software,2Y,4290
Gaming Mouse Wireless,CORSAIR,SCIMITAR ELITE SE WHITE (BLUETOOTH),USB Wireless 2.4GHz / Bluetooth 5.4 / USB Type-C to Type-A,33000,16,Support iCUE Software,2Y,4290
Gaming Mouse Wireless,CORSAIR,M75 BLACK (BLUETOOTH),Wireless 2.4GHz / Bluetooth,26000,5,Software Support iCUE,2Y,4490
Gaming Mouse Wireless,CORSAIR,M75 WHITE (BLUETOOTH),Wireless 2.4GHz / Bluetooth,26000,5,Software Support iCUE,2Y,4490
Gaming Mouse Wireless,FANTECH,WG13 TANTO S 8K BLACK (BLUETOOTH),USB-C / USB Wireless 2.4GHz / Bluetooth,26000,5,Support Fantech Software,2Y,1590
Gaming Mouse Wireless,FANTECH,WG13 TANTO S 8K WHITE (BLUETOOTH),USB-C / USB Wireless 2.4GHz / Bluetooth,26000,5,Support Fantech Software,2Y,1590
Gaming Mouse Wireless,AULA,SC900 PRO BLACK 8K (BLUETOOTH),USB type C / USB Wireless 2.4GHz / Bluetooth,26000,7,Support Aula Software,220 day,1790
Gaming Mouse Wireless,AULA,SC900 MAX RED 8K (BLUETOOTH),USB type C / USB Wireless 2.4GHz / Bluetooth,30000,7,Support Aula Software,220 day,1890
Gaming Mouse Wireless,AJAZZ,AJ159 APEX 8K METEORITE BLACK (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth 5.0,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ159 APEX 8K SKY BLUE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth 5.0,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ159 APEX 8K SNOW WHITE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth 5.0,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ159 APEX 8K SUNSET ORANGE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth 5.0,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ179 APEX 8K SKY BLUE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ179 APEX 8K SNOW WHITE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,AJAZZ,AJ179 APEX 8K SUNSET ORANGE (BLUETOOTH/LCD),USB Type-C / Wireless 2.4GHz / Bluetooth,42000,5,Support Ajazz Software,1Y,1990
Gaming Mouse Wireless,HYPERX,PULSEFIRE HASTE 2 PRO 4K WHITE (BLUETOOTH),USB Type-C / USB Wireless 2.4GHz / Bluetooth,26000,6,Support HyperX NGENUITY Software,2Y,4690
