category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
400W.-600W.,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,600W / Length 150mm / Non Modular,1Y,890
400W.-600W.,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,600W / Non Modular / Length 150mm / 2xCPU / 1xPCIe (6+2 Pin),3Y,690
400W.-600W.,POWER SUPPLY (FULL) 600W DTECH PW008,600W / FULL WATT / Length 140mm / Non Modular,3Y,760
400W.-600W.,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,600W / FULL WATT / Length 140mm / Non Modular,3Y,790
400W.-600W.,POWER SUPPLY (80+ WHITE) 600W AEROCOOL UNITED,600W / 80 PLUS WHITE / Length 140mm / Non Modular,3Y,1130
400W.-600W.,POWER SUPPLY (80+ WHITE) 600W MONTECH AP600,600W / 80+White / NO Modular / Length 150mm / 1xCPU / 2xPCIe (6+2 Pin),3Y,1160
400W.-600W.,POWER SUPPLY (80+ WHITE) 600W COOLER MASTER ELITE NEX MWE 230V (MPW-6001-ACBW),600W / 80+White / Non Modular / Length 140mm / 1xCPU / 2xPCIe (6+2 Pin),3Y,1190
400W.-600W.,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,600W / 80 PLUS WHITE / None Modular / Length 140mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1390
400W.-600W.,POWER SUPPLY (80+ BRONZE) 600W ITSONAS AURORA ARGB,600W / 80 PLUS BRONZE / Full Modular,3Y,1950
620W.-750W.,POWER SUPPLY 620W TSUNAMI EXTREME+PRO,620W / Length 150mm / 1xCPU,1Y,420
620W.-750W.,POWER SUPPLY 620W ITSONAS KINGKONG,620W / Length 140mm / Non Modular,1Y,690
620W.-750W.,POWER SUPPLY 650W OKER EB-650,650W / Length 140mm /Non Modular,1Y,490
620W.-750W.,POWER SUPPLY 650W DTECH PW036,650W / Length 140mm / Non Modular,1Y,510
620W.-750W.,POWER SUPPLY 750W OKER EB-750,750W / Length 140mm / Non Modular,1Y,560
620W.-750W.,POWER SUPPLY (FULL) 650W NUBWO NPS-650 BLACK,650W / Non Modular / Length 140mm / 2xCPU / 1xPCIe (6+2 Pin),3Y,640
620W.-750W.,POWER SUPPLY (FULL) 650W NUBWO NPS-650 WHITE,650W / Non Modular / Length 140mm / 2xCPU / 1xPCIe (6+2 Pin),3Y,670
620W.-750W.,POWER SUPPLY (FULL) 650W VIKINGS VK,650W / Non Modular / Length 150mm / 2xCPU / 2xPCIe (6+2 Pin),3Y,990
620W.-750W.,POWER SUPPLY (FULL) 650W ANTEC ATOM V650,650W / Full / Length 140mm / 1xCPU / 2xPCIe (6+2 Pin),2Y,1190
620W.-750W.,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,650W / 80 PLUS WHITE / Length 150mm / Non Modular,3Y,1290
620W.-750W.,POWER SUPPLY (80+ WHITE) 650W SILVERSTONE STRIDER 650W (SST-ST650-EFA),650W / 80+WHITE / None Modular / Length 140mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1490
620W.-750W.,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S (PS-TRS-0650NNSAWE-H),650W / 80+WHITE / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1490
620W.-750W.,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S,650W / 80 PLUS WHITE / Length 140mm / Non Modular,3Y,1440
