category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1000W / 80+GOLD / Full Modular / Length 160mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),5Y,5190
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W MSI MAG A1000GL PCIE5,1000W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),5Y,5790
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),1000W / 80+Gold / FULL Modular / Length 160mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),10Y,6350
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000w. ASUS TUF GAMING 1000G WHITE,1000W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 4xPCIe (6+2 Pin),10Y,6500
800W.-1050W.,POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,1000W / 80+GOLD / Full Modular / Length 180mm / 2xCPU / 1xPCIe (16 Pin) / 2xPCIe (6+2 Pin),10Y,8900
800W.-1050W.,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),1000W / Cybenetics Platinum / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 3xPCIe (6+2 Pin),7Y,4990
800W.-1050W.,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E WHITE (CP-9020294-NA),1000W / Cybenetics Platinum / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 3xPCIe (6+2 Pin),7Y,5290
800W.-1050W.,POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),1000W / 80+Platinum / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),10Y,6690
800W.-1050W.,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,1000W / 80+Platinum / Full Modular / Length 125mm / 2xCPU / 1xPCIe (16 Pin) / 3xPCIe (8 Pin),10Y,9500
800W.-1050W.,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,1050W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 6xPCIe (6+2 Pin),10Y,3990
1200W.-1650W.,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,1200W / 80+PLATINUM / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 2xPCIe (16 Pin) / 3xPCIe (6+2 Pin),10Y,8450
1200W.-1650W.,POWER SUPPLY (80+ GOLD) 1250W MSI MAG A1250GL PCIE5,1250W / 80+GOLD / FULL Modular / Length 150mm / 2xCPU(4+4 Pin) / 1x12VHPWR (16 Pin) / 4xPCIe (6+2 Pin),7Y,5990
1200W.-1650W.,POWER SUPPLY (80+ GOLD) 1250W SEGOTEP GM1250W,1250W / 80+GOLD / Full Modular / Length 150mm / 2xCPU / 1xPCIe ((14+2 Pin) / 4xPCIe (6+2 Pin),5Y,6390
1200W.-1650W.,POWER SUPPLY (80+ PLATINUM) 1300W DEEPCOOL PX1300P,1300W / 80+PLATINUM / FULL Modular / Length 160mm / 2xCPU(4+4 Pin) / 2xPCIe (16 Pin) / 5xPCIe (6+2 Pin),12Y,12000
1200W.-1650W.,POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,1350W / 80 PLUS GOLD / Full Modular,10Y,8990
1200W.-1650W.,POWER SUPPLY (80+ PLATINUM) 1500W CORSAIR HX1500i (CP-9020261-NA),1500W / 80+Platinum / Full Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 4xPCIe (8 Pin),10Y,13500
1200W.-1650W.,POWER SUPPLY (80+ PLATINUM) 1500W NZXT BLACK (PA-5P1BB-US),1500W / 80+PLATINUM / FULL Modular / Length 180mm / 2xCPU(4+4 Pin) / 2xPCIe (16 Pin) / 6xPCIe (6+2 Pin),10Y,12500
