category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870 GAMING WIFI6 DDR5 (REV. 1.0),Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 6,Socket AM5,3Y,6890
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASROCK X870 PRO RS DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb,Socket AM5,3Y,6990
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASROCK X870 PRO RS WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 3xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,7390
AMD AM5 (X670 - X870),MAINBOARD (AM5) COLORFUL BATTLE-AX X870A-GHA V14 WIFI,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 6,Socket AM5,3Y,7490
AMD AM5 (X670 - X870),MAINBOARD (AM5) COLORFUL CVN X870 ARK FROZEN V14 WIFI6 DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,7690
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASUS PRIME X870-P-CSM DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb,Socket AM5,3Y,7590
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870 EAGLE WIFI7 DDR5 (REV. 1.1),Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,7790
AMD AM5 (X670 - X870),MAINBOARD (AM5) MSI PRO X870-P WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,7890
AMD AM5 (X670 - X870),MAINBOARD (AM5) COLORFUL IGAME X870 SENNA V14 DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,8190
AMD AM5 (X670 - X870),MAINBOARD (AM5) MSI MPG X870 TOMAHAWK WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,9550
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASROCK X870 STEEL LEGEND WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,9650
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870 AORUS ELITE WIFI7 DDR5 (REV. 1.1),Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,9750
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870 AORUS ELITE WIFI7 ICE DDR5 (REV. 1.1),Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,9750
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870 AORUS STEALTH DDR5 (REV. 1.0),Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,12580
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASUS ROG STRIX X870-A GAMING WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 2xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,16300
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASUS ROG STRIX X870-F GAMING WIFI DDR5,Socket AM5 / AMD X870 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,16400
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870E AORUS ELITE X3D ICE DDR5 (REV. 1.0),Socket AM5 / AMD X870E / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xHDMI(Front) / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,11690
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870E AORUS ELITE X3D DDR5 (REV. 1.0),Socket AM5 / AMD X870E / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 4xM.2 Slots / ATX / 1xHDMI / 1xHDMI(Front) / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,11690
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870E AORUS PRO X3D ICE DDR5 (rev. 1.0),Socket AM5 / AMD X870E / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xHDMI(Front) / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,14450
AMD AM5 (X670 - X870),MAINBOARD (AM5) ASUS ROG CROSSHAIR X870E APEX,Socket AM5 / AMD X870E / 2xDDR5 / 2xPCIe 5.0 / 4xSATA / 5xM.2 Slots / ATX / 2xUSB Type-C(DP) / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,24500
AMD AM5 (X670 - X870),MAINBOARD (AM5) GIGABYTE X870I AORUS PRO ICE DDR5 (REV. 1.1),Socket AM5 / AMD X870 / 2xDDR5 / 1xPCIe5.0 / 2xSATA / 2xM.2 Slots / Mini ITX / 1xHDMI / 1xUSB Type-C(DP) / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,13350
AMD TRX50 (TRX - 50),MAINBOARD (TRX50) GIGABYTE TRX50 AERO D (REV. 1.2),Socket sTR5 / AMD TRX50 / 4xDDR5 / 2xPCIe 5.0 + 1xPCIe 4.0 / 8xSATA / 4xM.2 Slots / E-ATX / 1xLAN 2.5Gb + 1xLAN 10Gb / WiFi 7,Socket sTR5,3Y,25900
INTEL 1151 (H110 - Z390),MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Socket 1151 / Intel H110 / 2xDDR4 / 1xPCIe3.0 / 3xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1151,3Y,1550
INTEL 1151 (H110 - Z390),MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Socket 1151V2 / Intel Q370 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1151V2,3Y,1550
INTEL 1151 (H110 - Z390),MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Socket 1151V2 / Intel H310 / 2xDDR4 / 1xPCIe3.0 / 3xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 10/100Mb,Socket 1151V2,3Y,1550
INTEL 1151 (H110 - Z390),MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Socket 1151V2 / Intel H310 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1151V2,3Y,2050
INTEL 1200 (H410 - H510),MAINBOARD (1200) LONGWELL H410-VH DDR4,Socket 1200 / Intel H410 / 2xDDR4 / 1xPCIe3.0 / 3xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1200,3Y,1530
INTEL 1200 (H410 - H510),MAINBOARD (1200) LONGWELL H510-PRO DDR4,Socket 1200 / Intel H510 / 2xDDR4 / 1xPCIe4.0 / 3xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1200,3Y,1700
INTEL 1700 (H610 - H770),MAINBOARD (1700) BIOSTAR H610MHC 2.0 DDR4 (REV. 2.0),Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1490
INTEL 1700 (H610 - H770),MAINBOARD (1700) LONGWELL H610M-4 DDR4,Socket 1700 / Intel Q670 / 2xDDR4 / 1xPCIe4.0 / 3xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,1Y,1490
INTEL 1700 (H610 - H770),MAINBOARD (1700) MSI PRO H610M-S DDR4,Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 2xSATA / 1xM.2 Slot / Micro ATX / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1640
INTEL 1700 (H610 - H770),MAINBOARD (1700) GIGABYTE H610M K DDR4 (REV. 2.0),Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 2xSATA / 1xM.2 Slot / Micro ATX / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1690
INTEL 1700 (H610 - H770),MAINBOARD (1700) ASUS PRIME H610M-F DDR4 R2.0,Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 2xSATA / 1xM.2 Slot / Micro ATX / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1710
INTEL 1700 (H610 - H770),MAINBOARD (1700) COLORFUL H610M-D EVO V21 DDR4,Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1790
INTEL 1700 (H610 - H770),MAINBOARD (1700) ASROCK H610M-HVS/M.2 R2.0 DDR4,Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1940
INTEL 1700 (H610 - H770),MAINBOARD (1700) GIGABYTE H610M H V3 DDR4 (REV. 1.0),Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,2150
INTEL 1700 (H610 - H770),MAINBOARD (1700) GIGABYTE H610M S2H V2 DDR4 (REV. 1.0),Socket 1700 / Intel H610 / 2xDDR4 / 1xPCIe 4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xDVI / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2550
INTEL 1700 (H610 - H770),MAINBOARD (1700) COLORFUL H610M-D V20 DDR5,Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1700
INTEL 1700 (H610 - H770),MAINBOARD (1700) MSI PRO H610M-E DDR5,Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1750
INTEL 1700 (H610 - H770),MAINBOARD (1700) ASUS H610M-K DDR5,Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1990
INTEL 1700 (H610 - H770),MAINBOARD (1700) GIGABYTE H610M K V2 DDR5 (REV. 1.0),Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe4.0 / 2xSATA / 1xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,1900
INTEL 1700 (H610 - H770),MAINBOARD (1700) ASROCK H610M-H2/M.2 DDR5,Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 2xHDMI / 1xLAN 1Gb,Socket 1700,3Y,1950
INTEL 1700 (H610 - H770),MAINBOARD (1700) ASROCK H610M-HDV/M.2+ DDR5,Socket 1700 / Intel H610 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2160
INTEL 1700 (B660 - B760),MAINBOARD (1700) LONGWELL B760M-AV DDR4,Socket 1700 / Intel B760 / 2xDDR4 / 1xPCIe 4.0 / 3xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,1950
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M-HDV/M.2 DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket 1700,3Y,2690
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M D3HP DDR4 (REV. 1.0),Socket 1700 / Intel B760 / 4xDDR4 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2690
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M PRO RS DDR4,Socket 1700 / Intel B760 / 4xDDR4 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket 1700,3Y,3690
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760 PRO RS DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket 1700,3Y,3950
INTEL 1700 (B660 - B760),MAINBOARD (1700) MSI PRO B760M-E DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket 1700,3Y,2090
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS PRIME B760M-K DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 2.5Gb,Socket 1700,3Y,2490
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 2xHDMI / 1xLAN 2.5Gb,Socket 1700,3Y,2670
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2790
INTEL 1700 (B660 - B760),MAINBOARD (1700) MSI B760M GAMING WIFI DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,3590
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,Socket 1700 / Intel B760 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xLAN 2.5Gb / WiFi 6,Socket 1700,3Y,3890
INTEL 1700 (B660 - B760),MAINBOARD (1700) MSI PRO B760M-P DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2350
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M PG LIGHTNING DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket 1700,3Y,2690
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M D3HP DDR5 (REV. 1.0),Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket 1700,3Y,2770
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS PRIME B760M-A DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xLAN 2.5Gb,Socket 1700,3Y,2900
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M PG LIGHTNING WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,3390
INTEL 1700 (B660 - B760),MAINBOARD (1700) MSI PRO B760M-A WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX/ 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,3780
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M PRO RS DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xLAN 2.5Gb,Socket 1700,3Y,3790
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M D3HP WIFI6 DDR5 (rev. 1.0),Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb / WiFi 6,Socket 1700,3Y,3790
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS PRIME B760M-A-WIFI-CSM DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 2xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6,Socket 1700,3Y,3990
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS PRIME B760M-A WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xLAN 2.5Gb / WiFi 6,Socket 1700,3Y,4050
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M PRO RS WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,4150
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M GAMING X DDR5 (REV. 1.0),Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xLAN 2.5Gb,Socket 1700,3Y,4150
INTEL 1700 (B660 - B760),MAINBOARD (1700) GIGABYTE B760M GAMING X GEN5 DDR5 (rev. 1.0),Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket 1700,3Y,4170
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M STEEL LEGEND WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,4890
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket 1700,3Y,4590
INTEL 1700 (B660 - B760),MAINBOARD (1700) MSI B760 GAMING PLUS WIFI DDR5,Socket 1700 / Intel B760 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / ATX / 1xLAN 2.5Gb / Wi-Fi 6E,Socket 1700,3Y,4050
INTEL 1700 (B660 - B760),MAINBOARD (1700) ASROCK B760M-ITX WIFI DDR4,Socket 1700 / Intel B760 / 2xDDR4 / 1xPCIe4.0 / 4xSATA / 1xM.2 Slot / Mini ITX / 1xLAN 1Gb / WiFi 6E,Socket 1700,3Y,4490
