category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM4 (B450 - B550),MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,Socket AM4 / AMD B550 / 4xDDR4 / 1xPCIe4.0 / 6xSATA / 2xM.2 Slots / Micro ATX / 1xLAN 2.5Gb,Socket AM4,3Y,3590
AMD AM4 (B450 - B550),MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Socket AM4 / AMD B550 / 4xDDR4 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket AM4,3Y,3650
AMD AM4 (B450 - B550),MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),Socket AM4 / AMD B550 / 4xDDR4 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 1xLAN 1Gb / WiFi 6,Socket AM4,3Y,4150
AMD AM4 (B450 - B550),MAINBOARD (AM4) ASROCK B550M-ITX/AC DDR4,Socket AM4 / AMD B550 / 2xDDR4 / 1xPCIe 4.0 / 4xSATA / 1xM.2 Slot / Mini ITX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb / WiFi 5,Socket AM4,3Y,4590
AMD AM5 (A620),MAINBOARD (AM5) ASROCK A620AM-H2 DDR5,Socket AM5 / AMD A620A / 2xDDR5 / 1xPCIe 4.0 / 2xSATA / 2xM.2 Slots / Micro ATX / 2xHDMI / 1xLAN 1Gb,Socket AM5,3Y,2250
AMD AM5 (A620),MAINBOARD (AM5) MSI PRO A620AM-B EVO DDR5,Socket AM5 / AMD A620A / 2xDDR5 / 1xPCIe 4.0 / 2xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 2.5Gb,Socket AM5,3Y,2250
AMD AM5 (A620),MAINBOARD (AM5) ASROCK A620AM PRO RS DDR5,Socket AM5 / AMD A620A / 4xDDR5 / 1xPCIe 4.0 / 2xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3390
AMD AM5 (A620),MAINBOARD (AM5) ASROCK A620M PRO RS WIFI DDR5,Socket AM5 / AMD A620 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xLAN 1Gb / WiFi 6E,Socket AM5,3Y,3550
AMD AM5 (A620),MAINBOARD (AM5) ASUS TUF GAMING A620M PLUS WIFI DDR5,Socket AM5 / AMD A620 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6,Socket AM5,3Y,3950
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI PRO B650M-B DDR5,Socket AM5 / AMD B650 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb + 1xLAN 2.5Gb,Socket AM5,3Y,2750
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B650M-H/M.2+ DDR5,Socket AM5 / AMD B650 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket AM5,3Y,3150
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI B650M GAMING WIFI DDR5,Socket AM5 / AMD B650 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,3150
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS B650M-AYW WIFI DDR5,Socket AM5 / AMD B650 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xLAN 2.5Gb / WiFi 6,Socket AM5,3Y,3450
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B650I AORUS ULTRA DDR5 (REV. 1.0),Socket AM5 / AMD B650 / 2xDDR5 / 1xPCIe4.0 / 4xSATA / 3xM.2 Slots / Mini ITX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,10650
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B650M PG LIGHTNING DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 6xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,2990
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B650M D3HP DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX /1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3350
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI PRO B650M-P DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xD-Sub / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3050
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS PRIME B650M-A II DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xVGA / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3260
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B650M PG LIGHTNING WIFI DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,3690
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B650M PRO RS DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4170
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS TUF GAMING B650M-PLUS WIFI DDR5,Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe4.0 / 4xSATA / 2xM.2 / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6,Socket AM5,3Y,5450
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B650 AORUS ELITE AX DDR5 (REV. 1.0),Socket AM5 / AMD B650 / 4xDDR5 / 1xPCIe 4.0 / 4xSATA / 3xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,6990
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASUS PRIME B850M-K,Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3990
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M-X R2.0 DDR5,Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3750
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M-X DDR5,Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 4.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,3990
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M-X WIFI R2.0 DDR5,Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,4150
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI B850M GAMING WIFI DDR5,Socket AM5 / AMD B850 / 2xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,4290
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M C DDR5 WIFI7 (REV 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,3990
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M PRO-A DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4490
