brand_cpu,name_cpu,benchmark_cpu,rank_cpu,value_cpu,socket_cpu,price_cpu,core_count,thread_count
Intel,Intel Core i3-4170T @ 3.20GHz,3144,2948,41.95,LGA 1150,2332.444,2,4
Intel,Intel Core i3-4330 @ 3.50GHz,3485,2795,58.12,LGA 1150,1865.9552,2,4
Intel,Intel Core i3-4340 @ 3.60GHz,3510,2789,89.8,LGA 1150,1216.4808,2,4
Intel,Intel Core i3-4350 @ 3.60GHz,3619,2756,27.84,LGA 1150,4045.6,2,4
Intel,Intel Core i3-4360 @ 3.70GHz,3644,2744,43.58,LGA 1150,2602.2544,2,4
Intel,Intel Core i3-4370 @ 3.80GHz,3861,2664,93.87,LGA 1150,1279.9656,2,4
Intel,Intel Core i3-4370T @ 3.30GHz,3361,2855,24.35,LGA 1150,4294.56,2,4
Intel,Intel Core i3-530 @ 2.93GHz,1517,3979,33.71,LGA 1156,1400.4,2,4
Intel,Intel Core i3-540 @ 3.07GHz,1558,3938,6.89,LGA 1156,7033.12,2,4
Intel,Intel Core i3-550 @ 3.20GHz,1632,3880,12.56,LGA 1156,4044.044,2,4
Intel,Intel Core i3-560 @ 3.33GHz,1642,3874,18.26,LGA 1156,2799.244,2,4
Intel,Intel Core i3-6100 @ 3.70GHz,4099,2593,58.02,LGA 1151,2198.628,2,4
Intel,Intel Core i3-6100T @ 3.20GHz,3637,2746,84.6,LGA 1151,1337.8488,2,4
Intel,Intel Core i3-6102E @ 1.90GHz,2349,3380,10.44,LGA 1151,7002,2,4
Intel,Intel Core i3-6300 @ 3.80GHz,4350,2529,43.51,LGA 1151,3111.0664,2,4
Intel,Intel Core i3-6300T @ 3.30GHz,3985,2624,30.65,LGA 1151,4045.6,2,4
Intel,Intel Core i3-6320 @ 3.90GHz,4432,2509,45.88,LGA 1151,3006.192,2,4
Intel,Intel Core i3-7100 @ 3.90GHz,4311,2536,122.27,LGA 1151,1097.2912,2,4
Intel,Intel Core i3-7100T @ 3.40GHz,3750,2705,96.15,LGA 1151,1213.68,2,4
Intel,Intel Core i3-7101E @ 3.90GHz,4430,2510,37.87,LGA 1151,3641.04,2,4
Intel,Intel Core i3-7101TE @ 3.40GHz,3956,2633,33.81,LGA 1151,3641.04,2,4
Intel,Intel Core i3-7102E @ 2.10GHz,2599,3220,11.55,LGA 1151,7002,2,4
Intel,Intel Core i3-7300 @ 4.00GHz,4519,2484,58.26,LGA 1151,2413.9784,2,4
Intel,Intel Core i3-7300T @ 3.50GHz,4140,2575,32.1,LGA 1151,4013.2352,2,4
Intel,Intel Core i3-7320 @ 4.10GHz,4767,2429,36.78,LGA 1151,4033.152,2,4
Intel,Intel Core i3-7350K @ 4.20GHz,4874,2409,28.84,LGA 1151,5259.28,2,4
Intel,Intel Core i3-8100 @ 3.60GHz,6064,2133,177.09,LGA 1151v2,1065.5488,4,4
Intel,Intel Core i3-8100B @ 3.60GHz,5906,2168,44.41,LGA 1151v2,4138.96,4,4
Intel,Intel Core i3-8100T @ 3.10GHz,5266,2324,89.25,LGA 1151v2,1836.08,4,4
Intel,Intel Core i3-8145UE @ 2.20GHz,4010,2617,14.27,LGA 1151v2,8744.72,2,4
